alert_id,fecha_alerta,id_cliente,provincia,bloque_analitico,categoria_h,familia,familia_comercial,tipo_alerta,motivo,segment_or_pattern,loyalty_tier,trend,prioridad,score,expected_impact_eur,urgency_factor,conversion_probability,canal_recomendado,contact_window_days,trace_features,holiday_period,campaign_active,campaign_name
ALT-20251229-000001,2025-12-29,27995,Las Palmas,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€35,940/yr historic, no activity for 207d.",systematic_silent,,declining,High,22613.372224007588,35940.38120995671,0.9260273972602739,0.6794520547945205,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 207.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 4517.5494, ""mean_interpurchase_days"": 57.75, ""lifetime_volume"": 45491.660599999996, ""conversion_probability"": 0.6794520547945205}",True,False,
ALT-20251229-000003,2025-12-29,1000101040,Almería,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€21,277/yr historic, no activity for 98d.",systematic_silent,,declining,High,20810.90747076923,21277.25833846154,1.0,0.9780821917808219,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 98.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 2480.1387054545457, ""mean_interpurchase_days"": 65.0, ""lifetime_volume"": 7578.2016, ""conversion_probability"": 0.9780821917808219}",True,False,
ALT-20251229-000004,2025-12-29,1000077135,Madrid,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€29,087/yr historic, no activity for 189d.",systematic_silent,,declining,High,20675.0848718449,29087.165055034395,0.9753424657534246,0.7287671232876712,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 189.0, ""frequency_recent"": 0, ""frequency_baseline"": 2, ""volume_recent"": 0.0, ""expected_vol_recent"": 2543.1174, ""mean_interpurchase_days"": 23.17391304347826, ""lifetime_volume"": 127425.6902, ""conversion_probability"": 0.7287671232876712}",True,False,
ALT-20251229-000005,2025-12-29,1000081983,Cantabria,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €4,702 vs expected €13,923.",systematic_deterioration,,declining,High,19271.534282,36883.3192,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 31.0, ""frequency_recent"": 1, ""frequency_baseline"": 5, ""volume_recent"": 4702.4012, ""expected_vol_recent"": 13923.231, ""mean_interpurchase_days"": 65.76923076923077, ""lifetime_volume"": 152953.4192, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000008,2025-12-29,6716,Ciudad Real,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €1,679 vs expected €8,880.",systematic_deterioration,,declining,High,15051.454351999999,28806.6112,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 39.0, ""frequency_recent"": 1, ""frequency_baseline"": 6, ""volume_recent"": 1678.5812000000003, ""expected_vol_recent"": 8880.234, ""mean_interpurchase_days"": 58.0, ""lifetime_volume"": 62228.488600000004, ""conversion_probability"": 0.55}",True,False,
ALT-20251229-000011,2025-12-29,1000100089,Sta.Cruz Tenerife,Productos Técnicos,Categoria T1,Familia T2,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€14,684/yr historic, no activity for 104d.",systematic_silent,,declining,High,14120.77091871658,14683.99255080214,1.0,0.9616438356164384,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 104.0, ""frequency_recent"": 0, ""frequency_baseline"": 4, ""volume_recent"": 0.0, ""expected_vol_recent"": 2462.083134545455, ""mean_interpurchase_days"": 62.333333333333336, ""lifetime_volume"": 7523.031800000001, ""conversion_probability"": 0.9616438356164384}",True,False,
ALT-20251229-000012,2025-12-29,11914,Castellón,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€15,098/yr historic, no activity for 126d.",systematic_silent,,declining,High,13608.964256999998,15098.091045,1.0,0.9013698630136986,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 126.0, ""frequency_recent"": 0, ""frequency_baseline"": 4, ""volume_recent"": 0.0, ""expected_vol_recent"": 3206.9134000000004, ""mean_interpurchase_days"": 85.71428571428571, ""lifetime_volume"": 24818.7798, ""conversion_probability"": 0.9013698630136986}",True,False,
ALT-20251229-000013,2025-12-29,39394,Valencia,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€24,453/yr historic, no activity for 229d.",systematic_silent,,declining,High,13108.140632374872,24452.952220064722,0.8657534246575342,0.6191780821917808,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 229.0, ""frequency_recent"": 0, ""frequency_baseline"": 3, ""volume_recent"": 0.0, ""expected_vol_recent"": 526.9862, ""mean_interpurchase_days"": 77.25, ""lifetime_volume"": 20701.2664, ""conversion_probability"": 0.6191780821917808}",True,False,
ALT-20251229-000014,2025-12-29,40446,Málaga,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),silent,"Systematic client gone silent: ~€14,406/yr historic, no activity for 154d.",systematic_silent,,declining,High,11880.260959055118,14406.296511811022,1.0,0.8246575342465754,delegado,2,"{""pattern"": ""systematic_silent"", ""trend"": ""declining"", ""recency_days"": 154.0, ""frequency_recent"": 0, ""frequency_baseline"": 2, ""volume_recent"": 0.0, ""expected_vol_recent"": 3614.0144, ""mean_interpurchase_days"": 58.964285714285715, ""lifetime_volume"": 65163.8234, ""conversion_probability"": 0.8246575342465754}",True,False,
ALT-20251229-000015,2025-12-29,1000081965,Pontevedra,Productos Técnicos,Categoria T1,Familia T1,Biomateriales (técnicos),churn_risk,"Systematic client deteriorating: €563 vs expected €6,219.",systematic_deterioration,,declining,High,11820.489494000001,22622.9464,0.95,0.55,delegado,7,"{""pattern"": ""systematic_deterioration"", ""trend"": ""declining"", ""recency_days"": 24.0, ""frequency_recent"": 1, ""frequency_baseline"": 0, ""volume_recent"": 563.3788, ""expected_vol_recent"": 6219.115400000001, ""mean_interpurchase_days"": 51.63636363636363, ""lifetime_volume"": 57114.0566, ""conversion_probability"": 0.55}",True,False,
