id_cliente,categoria_h,bloque_analitico,frequency_current,frequency_baseline,volume_units_current,volume_units_baseline,volume_eur_current,volume_eur_baseline,n_skus_current,n_skus_baseline,recency_days,potencial_h,share_of_potential,segment
100,Categoria C1,Commodities,2.0,3.0,23.0,32.0,2474.5398000000005,3271.409,3.0,3.0,222,2223.12,1.1130932203389834,loyal
100,Categoria T1,Productos Técnicos,1.0,3.0,1.0,4.0,1030.9876,2328.467,1.0,3.0,283,0.0,,churn_risk_dropping
1000036781,Categoria C2,Commodities,4.0,2.0,42.0,27.0,1998.1704,1161.9570000000003,2.0,2.0,14,6424.4400000000005,0.3110263929618768,loyal
1000036869,Categoria T1,Productos Técnicos,3.0,3.0,12.0,9.0,4451.421,3275.7422,2.0,4.0,48,0.0,,unknown_potential
1000036870,Categoria C1,Commodities,3.0,1.0,23.0,5.0,1773.0324,355.8248,3.0,1.0,27,2223.12,0.797542372881356,loyal
1000036961,Categoria C1,Commodities,4.0,3.0,20.0,15.0,2362.2848,1708.474,2.0,4.0,54,2223.12,1.0625988700564972,loyal
1000036997,Categoria C1,Commodities,3.0,3.0,28.0,31.0,3099.8708,3008.748,3.0,3.0,74,2223.12,1.3943785310734464,loyal
1000036998,Categoria T1,Productos Técnicos,0.0,1.0,0.0,1.0,0.0,335.9172,0.0,1.0,531,0.0,,churn_risk_silent
1000037112,Categoria C1,Commodities,3.0,4.0,14.0,17.0,1370.9554,1636.9761999999998,2.0,2.0,178,2223.12,0.616680790960452,loyal
1000037112,Categoria C2,Commodities,3.0,1.0,12.0,6.0,1215.18,550.4734000000001,1.0,1.0,165,12183.2,0.0997422680412371,promiscuous
1000037112,Categoria T1,Productos Técnicos,7.0,6.0,13.0,14.0,6437.8478000000005,6805.2906,2.0,2.0,40,0.0,,unknown_potential
1000037181,Categoria C1,Commodities,4.0,2.0,60.0,25.0,3639.3542,1464.8728,2.0,2.0,95,3410.04,1.0672467771639043,loyal
1000037323,Categoria T1,Productos Técnicos,7.0,2.0,15.0,3.0,9945.95,1887.1086,3.0,3.0,35,0.0,,unknown_potential
1000037376,Categoria C1,Commodities,2.0,4.0,35.0,25.0,2719.2713999999996,2052.2098,2.0,3.0,124,2223.12,1.2231779661016948,loyal
1000037399,Categoria C1,Commodities,1.0,1.0,4.0,6.0,253.49220000000003,426.9772,2.0,1.0,207,2223.12,0.11402542372881358,promiscuous
1000037399,Categoria C2,Commodities,0.0,1.0,0.0,3.0,0.0,314.5652000000001,0.0,1.0,698,6424.4400000000005,0.0,churn_risk_silent
1000037427,Categoria T1,Productos Técnicos,1.0,3.0,1.0,6.0,268.2816,1974.0238000000002,1.0,3.0,349,0.0,,churn_risk_dropping
1000037428,Categoria T1,Productos Técnicos,1.0,0.0,1.0,0.0,927.9014,0.0,1.0,0.0,231,0.0,,unknown_potential
1000037462,Categoria T1,Productos Técnicos,8.0,3.0,13.0,6.0,4136.2592,1901.7410000000002,3.0,2.0,39,0.0,,unknown_potential
1000037487,Categoria T1,Productos Técnicos,0.0,1.0,0.0,1.0,0.0,645.3642,0.0,1.0,697,0.0,,churn_risk_silent
1000037511,Categoria T1,Productos Técnicos,0.0,1.0,0.0,5.0,0.0,2049.321,0.0,3.0,425,0.0,,churn_risk_silent
1000037512,Categoria C1,Commodities,3.0,6.0,17.0,42.0,1530.5929999999998,3612.1931999999997,2.0,1.0,19,2223.12,0.6884887005649717,churn_risk_dropping
1000037512,Categoria C2,Commodities,5.0,6.0,60.0,72.0,2400.216,2715.5976,2.0,2.0,41,18472.62,0.12993370729219786,promiscuous
1000037515,Categoria C1,Commodities,1.0,2.0,5.0,10.0,590.5712000000001,1182.5554000000002,1.0,1.0,180,2223.12,0.26564971751412436,churn_risk_dropping
1000037515,Categoria C2,Commodities,7.0,6.0,69.0,42.0,2595.21,1350.4512,2.0,1.0,32,6424.4400000000005,0.4039589442815249,loyal
1000037560,Categoria T1,Productos Técnicos,1.0,1.0,2.0,3.0,937.3528000000001,1167.7974,2.0,2.0,202,0.0,,unknown_potential
1000037595,Categoria C1,Commodities,1.0,1.0,12.0,12.0,1328.7852,1290.069,1.0,1.0,125,1802.36,0.7372473867595819,loyal
1000037600,Categoria C1,Commodities,3.0,2.0,20.0,20.0,2371.6734,2166.3487999999998,3.0,3.0,52,2223.12,1.0668220338983052,loyal
1000037619,Categoria C1,Commodities,1.0,2.0,10.0,15.0,1107.321,1684.2332000000001,1.0,1.0,80,2223.12,0.498093220338983,loyal
1000037619,Categoria C2,Commodities,1.0,1.0,12.0,12.0,596.2860000000001,578.7648,1.0,1.0,158,1086.44,0.5488439306358381,loyal
1000037659,Categoria C1,Commodities,1.0,2.0,5.0,10.0,366.5008,862.4952,1.0,2.0,223,1802.36,0.20334494773519166,churn_risk_dropping
1000037667,Categoria C1,Commodities,5.0,6.0,77.0,106.0,5779.9236,8023.642,3.0,2.0,17,3410.04,1.6949723756906079,loyal
1000037704,Categoria C1,Commodities,0.0,2.0,0.0,20.0,0.0,1468.5152,0.0,2.0,419,1802.36,0.0,churn_risk_silent
1000037763,Categoria C1,Commodities,3.0,3.0,45.0,30.0,4320.3574,2926.5742,3.0,3.0,63,1802.36,2.3970557491289197,loyal
1000037777,Categoria C1,Commodities,0.0,1.0,0.0,5.0,0.0,573.364,0.0,1.0,650,1802.36,0.0,churn_risk_silent
1000038189,Categoria C1,Commodities,1.0,1.0,5.0,10.0,590.5712000000001,992.9308000000001,1.0,3.0,115,1802.36,0.3276655052264809,loyal
1000038232,Categoria C1,Commodities,3.0,3.0,21.0,18.0,2418.585,2193.0702,1.0,1.0,70,2223.12,1.0879237288135595,loyal
1000038263,Categoria C1,Commodities,2.0,1.0,7.0,8.0,687.4716,690.6744,3.0,3.0,31,2223.12,0.3092372881355932,loyal
1000038290,Categoria C1,Commodities,1.0,0.0,1.0,0.0,140.2638,0.0,1.0,0.0,165,2223.12,0.06309322033898306,promiscuous
1000038392,Categoria T1,Productos Técnicos,10.0,7.0,82.0,88.0,22860.518799999998,22472.98,5.0,3.0,24,0.0,,unknown_potential
1000038447,Categoria C2,Commodities,1.0,3.0,4.0,18.0,132.508,578.7648,1.0,1.0,196,9674.34,0.013696851671535216,churn_risk_dropping
1000038497,Categoria C1,Commodities,4.0,4.0,38.0,45.0,4044.948,4411.4802,3.0,4.0,14,3410.04,1.1861878453038674,loyal
1000038595,Categoria C1,Commodities,4.0,5.0,60.0,65.0,4342.0548,4500.1852,3.0,3.0,33,2223.12,1.953135593220339,loyal
