id_cliente,lifetime_volume_eur,avg_eur_per_month,n_distinct_categories,n_active_months,size_bucket,breadth_bucket,clinic_typology
100,17061.9122,1137.4608133333334,3,15,medium,broad,medium_broad
1000036781,9417.079800000001,495.63577894736846,1,19,small,narrow,small_narrow
1000036869,17024.4834,1418.70695,1,12,large,narrow,large_narrow
1000036870,3112.7448,444.67782857142856,1,7,small,narrow,small_narrow
1000036961,5047.6756,560.8528444444444,1,9,small,narrow,small_narrow
1000036997,12781.8724,798.867025,1,16,medium,narrow,medium_narrow
1000036998,335.9172,335.9172,1,1,small,narrow,small_narrow
1000037112,61058.1164,1299.1088595744682,3,47,large,broad,large_broad
1000037181,5104.227000000001,850.7045000000002,1,6,medium,narrow,medium_narrow
1000037323,20112.1082,1436.579157142857,1,14,large,narrow,large_narrow
1000037345,3876.016,969.004,1,4,medium,narrow,medium_narrow
1000037376,14945.2068,1067.5147714285715,1,14,medium,narrow,medium_narrow
1000037399,2168.1386,433.62772000000007,2,5,small,mixed,small_mixed
1000037427,12242.012200000001,1360.2235777777778,2,9,large,mixed,large_mixed
1000037428,3905.1866,1301.7288666666666,2,3,large,mixed,large_mixed
1000037454,992.0516,248.0129,1,4,small,narrow,small_narrow
1000037462,12047.6776,547.6217090909091,1,22,small,narrow,small_narrow
1000037487,1639.5196,819.7598,2,2,medium,mixed,medium_mixed
1000037511,8510.342,1418.3903333333335,1,6,large,narrow,large_narrow
1000037512,21242.4454,708.0815133333333,2,30,medium,mixed,medium_mixed
1000037515,15816.2114,416.21608947368424,2,38,small,mixed,small_mixed
1000037560,5888.6618,1472.16545,1,4,large,narrow,large_narrow
1000037595,6402.46,1280.492,1,5,large,narrow,large_narrow
1000037600,13760.422,982.8872857142858,1,14,medium,narrow,medium_narrow
1000037619,5724.3142,954.0523666666667,2,6,medium,mixed,medium_mixed
1000037659,3520.3482,440.043525,1,8,small,narrow,small_narrow
1000037667,25911.5312,1036.461248,2,25,medium,mixed,medium_mixed
1000037704,4760.24,793.3733333333333,2,6,medium,mixed,medium_mixed
1000037763,9691.4844,1211.43555,2,8,large,mixed,large_mixed
1000037777,2666.2682,888.7560666666667,1,3,medium,narrow,medium_narrow
1000037891,1603.8492,801.9246,2,2,medium,mixed,medium_mixed
1000038177,3154.2556,1577.1278,1,2,large,narrow,large_narrow
1000038189,3865.3714,773.07428,1,5,medium,narrow,medium_narrow
1000038232,12943.896400000001,719.1053555555557,1,18,medium,narrow,medium_narrow
1000038263,1872.225,468.05625,1,4,small,narrow,small_narrow
1000038290,140.2638,140.2638,1,1,small,narrow,small_narrow
1000038321,4489.1638,2244.5819,1,2,large,narrow,large_narrow
1000038392,88198.5808,3834.720904347826,3,23,large,broad,large_broad
1000038447,4287.984,267.999,2,16,small,mixed,small_mixed
1000038497,15167.4874,892.2051411764705,1,17,medium,narrow,medium_narrow
1000038513,2454.8206,1227.4103,1,2,large,narrow,large_narrow
1000038595,22210.8842,888.435368,2,25,medium,mixed,medium_mixed
1000038610,5409.183800000001,772.7405428571429,2,7,medium,mixed,medium_mixed
1000038685,11678.0368,1946.3394666666666,2,6,large,mixed,large_mixed
1000038694,962.096,962.096,1,1,medium,narrow,medium_narrow
1000038755,2153.5062,2153.5062,1,1,large,narrow,large_narrow
1000038775,4801.2798,1600.4266,1,3,large,narrow,large_narrow
1000039366,2530.1178,1265.0589,1,2,large,narrow,large_narrow
1000039499,5044.441400000001,840.7402333333334,1,6,medium,narrow,medium_narrow
1000039665,15319.4006,1276.6167166666667,2,12,large,mixed,large_mixed
1000039696,34303.244,1319.3555384615383,1,26,large,narrow,large_narrow
1000039707,6848.8424,856.1053,1,8,medium,narrow,medium_narrow
1000039922,10870.366,905.8638333333333,2,12,medium,mixed,medium_mixed
1000039979,21573.0246,490.2960136363636,3,44,small,broad,small_broad
1000040021,688.0368,688.0368,1,1,small,narrow,small_narrow
1000040157,3128.7274,521.4545666666667,2,6,small,mixed,small_mixed
1000040173,1791.0246,1791.0246,2,1,large,mixed,large_mixed
1000040210,9056.2938,603.75292,2,15,small,mixed,small_mixed
1000040262,1138.878,1138.878,1,1,medium,narrow,medium_narrow
1000040276,2134.7290000000003,1067.3645000000001,1,2,medium,narrow,medium_narrow
1000040383,4486.0238,1495.3412666666666,1,3,large,narrow,large_narrow
1000040550,1305.7062,652.8531,1,2,small,narrow,small_narrow
1000040574,25958.913800000002,741.6832514285715,3,35,medium,broad,medium_broad
1000040689,3412.6462,1137.5487333333333,1,3,medium,narrow,medium_narrow
1000040718,6354.1982,907.7425999999999,2,7,medium,mixed,medium_mixed
1000040842,31813.067,1383.1768260869565,3,23,large,broad,large_broad
1000041054,11890.3008,1321.1445333333334,1,9,large,narrow,large_narrow
1000041067,47045.678,2240.270380952381,2,21,large,mixed,large_mixed
1000041079,936.0340000000001,468.01700000000005,1,2,small,narrow,small_narrow
1000041086,9430.4248,785.8687333333334,1,12,medium,narrow,medium_narrow
1000041094,2613.2336,871.0778666666666,1,3,medium,narrow,medium_narrow
1000041136,3597.3096,719.46192,1,5,medium,narrow,medium_narrow
1000041269,1522.0208000000002,761.0104000000001,2,2,medium,mixed,medium_mixed
1000041272,4002.1498,571.7356857142858,2,7,small,mixed,small_mixed
1000041273,11001.775,1100.1775,3,10,medium,broad,medium_broad
1000041359,58372.7884,2334.911536,2,25,large,mixed,large_mixed
1000041382,74938.23520000001,3406.2834181818184,1,22,large,narrow,large_narrow
1000041400,25424.6742,1589.0421375,2,16,large,mixed,large_mixed
1000041454,3419.6484,488.5212,1,7,small,narrow,small_narrow
1000041550,15066.9446,1369.7222363636365,1,11,large,narrow,large_narrow
1000041560,7668.853400000001,547.7752428571429,2,14,small,mixed,small_mixed
1000041657,3473.8134,1157.9378,3,3,medium,broad,medium_broad
1000041674,2046.9974000000002,1023.4987000000001,1,2,medium,narrow,medium_narrow
1000041716,8532.070800000001,656.3131384615385,1,13,small,narrow,small_narrow
1000041726,12356.9676,1029.7473,3,12,medium,broad,medium_broad
1000041827,11874.1298,791.6086533333333,2,15,medium,mixed,medium_mixed
1000041851,1745.6516000000001,1745.6516000000001,1,1,large,narrow,large_narrow
1000041870,50246.908,3589.0648571428574,1,14,large,narrow,large_narrow
1000041898,4069.0946,1356.3648666666666,1,3,large,narrow,large_narrow
1000041971,1569.1208000000001,523.0402666666668,3,3,small,broad,small_broad
1000041983,2066.1828,344.3638,2,6,small,mixed,small_mixed
1000042009,38296.2878,1063.7857722222222,2,36,medium,mixed,medium_mixed
1000042016,16803.113400000002,1120.20756,2,15,medium,mixed,medium_mixed
1000042039,13547.9068,796.9356941176471,3,17,medium,broad,medium_broad
1000042084,1348.9754,337.24385,1,4,small,narrow,small_narrow
1000042085,5521.4702,1104.29404,2,5,medium,mixed,medium_mixed
1000042144,35236.389200000005,1006.7539771428573,3,35,medium,broad,medium_broad
1000042244,17306.0786,1573.2798727272727,1,11,large,narrow,large_narrow
1000042279,2359.2076,1179.6038,1,2,medium,narrow,medium_narrow
1000042306,4128.472,458.7191111111111,2,9,small,mixed,small_mixed
1000042307,18943.9654,557.1754529411764,2,34,small,mixed,small_mixed
1000042311,1678.4242000000002,1678.4242000000002,1,1,large,narrow,large_narrow
1000042326,10084.706600000001,1008.4706600000002,2,10,medium,mixed,medium_mixed
1000042336,4053.3946000000005,579.0563714285715,1,7,small,narrow,small_narrow
1000042343,1353.2458,676.6229,1,2,small,narrow,small_narrow
1000042377,10487.6,1747.9333333333334,2,6,large,mixed,large_mixed
1000042392,3014.3058,753.57645,1,4,medium,narrow,medium_narrow
1000042398,6311.9024,1577.9756,1,4,large,narrow,large_narrow
1000042519,7313.2484,3656.6242,1,2,large,narrow,large_narrow
1000042565,934.0244,467.0122,1,2,small,narrow,small_narrow
1000042570,3681.7442,613.6240333333334,2,6,small,mixed,small_mixed
1000042574,65287.7278,2176.2575933333333,2,30,large,mixed,large_mixed
1000042603,211414.002,4404.458375,3,48,large,broad,large_broad
1000042620,25583.9036,1279.1951800000002,2,20,large,mixed,large_mixed
1000042644,872.6687999999999,436.33439999999996,2,2,small,mixed,small_mixed
1000042670,17179.4738,1227.1052714285713,2,14,large,mixed,large_mixed
1000042748,3900.1626,780.03252,1,5,medium,narrow,medium_narrow
1000042752,768.5778,384.2889,1,2,small,narrow,small_narrow
1000042820,5313.5707999999995,1062.71416,1,5,medium,narrow,medium_narrow
1000042827,766.2228,383.1114,1,2,small,narrow,small_narrow
1000042835,11958.6272,1328.7363555555557,3,9,large,broad,large_broad
1000042947,13648.638,909.9092,2,15,medium,mixed,medium_mixed
1000042967,5489.0026,1097.80052,1,5,medium,narrow,medium_narrow
1000042968,2203.0554,1101.5277,1,2,medium,narrow,medium_narrow
1000043172,50719.949,2983.5264117647057,3,17,large,broad,large_broad
1000043173,73098.101,2923.92404,3,25,large,broad,large_broad
1000043204,5686.226,631.8028888888889,1,9,small,narrow,small_narrow
1000043232,2891.0922,722.77305,1,4,medium,narrow,medium_narrow
1000043280,883.0622000000001,883.0622000000001,1,1,medium,narrow,medium_narrow
1000044579,44463.97,1710.1526923076924,3,26,large,broad,large_broad
1000044587,1927.8030000000003,385.5606000000001,1,5,small,narrow,small_narrow
1000044594,54033.3712,1149.6461957446809,3,47,medium,broad,medium_broad
1000046050,4053.7713999999996,1013.4428499999999,2,4,medium,mixed,medium_mixed
1000046126,1376.4189999999999,1376.4189999999999,1,1,large,narrow,large_narrow
1000046792,3683.9736000000003,368.39736000000005,1,10,small,narrow,small_narrow
1000048293,17281.2726,720.053025,2,24,medium,mixed,medium_mixed
1000048764,128452.219,2987.260906976744,3,43,large,broad,large_broad
1000050394,1136.2718,1136.2718,1,1,medium,narrow,medium_narrow
1000051168,13493.6162,518.9852384615385,2,26,small,mixed,small_mixed
1000051534,575.5306,575.5306,1,1,small,narrow,small_narrow
1000051951,101686.9532,1883.091725925926,3,54,large,broad,large_broad
1000051972,9090.457,505.0253888888889,1,18,small,narrow,small_narrow
1000051994,15601.3098,1200.100753846154,1,13,large,narrow,large_narrow
1000052451,5417.756,773.965142857143,1,7,medium,narrow,medium_narrow
1000052454,6656.3604,369.7978,1,18,small,narrow,small_narrow
1000053130,22779.8522,711.87038125,1,32,medium,narrow,medium_narrow
1000053136,15645.992,1117.5708571428572,3,14,medium,broad,medium_broad
1000053457,20149.8196,1831.8017818181818,2,11,large,mixed,large_mixed
1000053469,10983.405999999999,844.8773846153846,1,13,medium,narrow,medium_narrow
1000054867,10117.1428,843.0952333333333,2,12,medium,mixed,medium_mixed
1000054868,9560.954600000001,597.5596625000001,1,16,small,narrow,small_narrow
1000055021,39936.9692,1288.2893290322581,3,31,large,broad,large_broad
1000055530,305.8674,305.8674,1,1,small,narrow,small_narrow
1000055638,87896.7326,2197.418315,2,40,large,mixed,large_mixed
1000055899,21459.4508,1021.8786095238095,3,21,medium,broad,medium_broad
1000056206,2700.3058,2700.3058,1,1,large,narrow,large_narrow
1000056227,21084.8802,810.9569307692308,3,26,medium,broad,medium_broad
1000056229,48512.1208,1564.9071225806451,1,31,large,narrow,large_narrow
1000056231,2236.8418,745.6139333333334,2,3,medium,mixed,medium_mixed
1000056254,2314.7452,2314.7452,1,1,large,narrow,large_narrow
1000056276,6969.920800000001,995.7029714285716,2,7,medium,mixed,medium_mixed
1000056305,10939.8856,1215.5428444444444,2,9,large,mixed,large_mixed
1000056328,7678.242,383.9121,1,20,small,narrow,small_narrow
1000056374,23582.2792,1025.3164869565219,2,23,medium,mixed,medium_mixed
1000056400,2649.1866,378.45522857142856,1,7,small,narrow,small_narrow
1000056409,7037.682000000001,1759.4205000000002,1,4,large,narrow,large_narrow
1000056444,18991.347999999998,1356.524857142857,2,14,large,mixed,large_mixed
1000056448,16968.7484,1696.87484,1,10,large,narrow,large_narrow
1000056449,27041.052,2458.2774545454545,3,11,large,broad,large_broad
1000056485,12976.0186,1297.60186,1,10,large,narrow,large_narrow
1000056487,14786.6054,821.4780777777778,2,18,medium,mixed,medium_mixed
1000056521,8540.8,948.9777777777776,1,9,medium,narrow,medium_narrow
1000056599,41069.6614,2281.6478555555555,2,18,large,mixed,large_mixed
1000056600,1871.7854,935.8927,1,2,medium,narrow,medium_narrow
1000056618,51621.4116,1395.1732864864864,3,37,large,broad,large_broad
1000056711,1240.0488,1240.0488,1,1,large,narrow,large_narrow
1000056724,3472.1806,868.04515,1,4,medium,narrow,medium_narrow
1000056752,7856.3742,714.2158363636364,1,11,medium,narrow,medium_narrow
1000056820,76203.1528,2005.3461263157894,3,38,large,broad,large_broad
1000056822,63747.8404,1225.9200076923078,3,52,large,broad,large_broad
1000056890,13074.7088,688.1425684210526,2,19,small,mixed,small_mixed
1000056892,5537.4528,615.2725333333333,2,9,small,mixed,small_mixed
1000056895,13869.4428,866.840175,2,16,medium,mixed,medium_mixed
1000056907,623.5726000000001,623.5726000000001,1,1,small,narrow,small_narrow
1000056963,8517.7838,1419.6306333333332,3,6,large,broad,large_broad
1000056995,27748.8394,1460.4652315789474,2,19,large,mixed,large_mixed
1000057006,8728.8232,2909.6077333333337,2,3,large,mixed,large_mixed
1000057018,900.7090000000001,900.7090000000001,1,1,medium,narrow,medium_narrow
1000057197,44889.9738,2805.6233625,3,16,large,broad,large_broad
1000057213,11120.341400000001,741.3560933333334,1,15,medium,narrow,medium_narrow
1000057225,18977.0924,1897.7092400000001,1,10,large,narrow,large_narrow
1000057270,8970.1322,2990.044066666667,3,3,large,broad,large_broad
1000057293,13942.5106,820.1476823529412,2,17,medium,mixed,medium_mixed
1000057410,7533.174,1883.2935,1,4,large,narrow,large_narrow
1000057417,37127.4228,1060.7835085714287,2,35,medium,mixed,medium_mixed
1000057436,13167.8098,731.544988888889,1,18,medium,narrow,medium_narrow
1000057456,27612.9716,1062.0373692307692,1,26,medium,narrow,medium_narrow
1000057485,2494.0078000000003,1247.0039000000002,1,2,large,narrow,large_narrow
1000057514,23791.937,881.1828518518519,3,27,medium,broad,medium_broad
1000057515,8244.2898,1177.7556857142858,2,7,medium,mixed,medium_mixed
1000057609,615.6284,615.6284,1,1,small,narrow,small_narrow
1000057629,46710.7342,1796.5666999999999,2,26,large,mixed,large_mixed
1000057666,26492.2428,1103.84345,1,24,medium,narrow,medium_narrow
1000057667,12551.459200000001,1045.9549333333334,2,12,medium,mixed,medium_mixed
1000057753,12709.7466,1588.718325,1,8,large,narrow,large_narrow
1000057826,29901.6862,1573.772957894737,1,19,large,narrow,large_narrow
1000057832,6771.253000000001,846.4066250000001,2,8,medium,mixed,medium_mixed
1000057850,54453.095,2016.7812962962964,2,27,large,mixed,large_mixed
1000057910,26558.8108,4426.468466666666,1,6,large,narrow,large_narrow
1000057937,31263.2844,1488.7278285714285,2,21,large,mixed,large_mixed
1000057942,1603.8806000000002,534.6268666666667,3,3,small,broad,small_broad
1000058015,3423.6048,855.9012,1,4,medium,narrow,medium_narrow
1000058038,4162.5096,277.50064000000003,1,15,small,narrow,small_narrow
1000058045,5153.211,468.4737272727273,1,11,small,narrow,small_narrow
1000058065,1255.6232,1255.6232,2,1,large,mixed,large_mixed
1000058080,2086.4672,347.7445333333333,1,6,small,narrow,small_narrow
1000058091,47389.7592,1822.6830461538461,2,26,large,mixed,large_mixed
1000058092,3163.0162,632.60324,2,5,small,mixed,small_mixed
1000058106,6029.522199999999,1507.3805499999999,2,4,large,mixed,large_mixed
1000058116,6815.9352,425.99595,3,16,small,broad,small_broad
1000058120,15943.193000000001,1449.3811818181819,2,11,large,mixed,large_mixed
1000058131,3037.8558000000003,506.30930000000006,2,6,small,mixed,small_mixed
1000058132,15391.024,1399.184,1,11,large,narrow,large_narrow
1000058161,11217.336000000001,1121.7336,2,10,medium,mixed,medium_mixed
1000058195,3388.0914,376.45459999999997,1,9,small,narrow,small_narrow
1000058198,4366.3584,727.7264,2,6,medium,mixed,medium_mixed
1000058199,10567.513,440.3130416666667,2,24,small,mixed,small_mixed
1000058223,28497.980600000003,1239.0426347826087,3,23,large,broad,large_broad
1000058229,7797.719,1113.9598571428571,2,7,medium,mixed,medium_mixed
1000058239,2078.3346,346.38910000000004,2,6,small,mixed,small_mixed
1000058295,15882.716600000002,721.9416636363637,1,22,medium,narrow,medium_narrow
1000058311,13780.9262,2756.18524,1,5,large,narrow,large_narrow
1000058338,11675.0538,1061.3685272727273,2,11,medium,mixed,medium_mixed
1000058339,1183.0578,591.5289,1,2,small,narrow,small_narrow
1000058363,769.5198,769.5198,1,1,medium,narrow,medium_narrow
1000058365,4945.625599999999,1236.4063999999998,1,4,large,narrow,large_narrow
1000058376,12557.3938,3139.34845,1,4,large,narrow,large_narrow
1000058426,19539.9374,1503.0721076923076,3,13,large,broad,large_broad
1000058430,14695.7966,1130.4458923076922,3,13,medium,broad,medium_broad
1000058448,16771.4622,670.8584880000001,3,25,small,broad,small_broad
1000058449,4992.1604,624.02005,2,8,small,mixed,small_mixed
1000058504,30906.3292,1717.018288888889,1,18,large,narrow,large_narrow
1000058571,301.5342,301.5342,1,1,small,narrow,small_narrow
1000058622,411.7482,411.7482,1,1,small,narrow,small_narrow
